English,Turkish
What is the purpose of Apple’s Third Party Code of Conduct?,Apple’ın Üçüncü Taraf Davranış Kuralları’nın amacı nedir?
Who is required to comply with Apple’s Third Party Code of Conduct?,Apple’ın Üçüncü Taraf Davranış Kuralları’na kimlerin uyması gerekmektedir?
What ethical standards are third parties expected to uphold when working with Apple?,Apple ile çalışırken üçüncü taraflardan hangi etik standartlara uymaları beklenmektedir?
"How should third parties handle complaints, questions, and allegations?","Üçüncü taraflar şikayetleri, soruları ve iddiaları nasıl ele almalıdır?"
What is Apple’s policy on retaliation against individuals reporting violations?,İhlalleri bildiren bireylere karşı misilleme konusunda Apple’ın politikası nedir?
What are third parties’ responsibilities regarding human rights and labor practices?,İnsan hakları ve çalışma uygulamaları konusunda üçüncü tarafların sorumlulukları nelerdir?
How should third parties ensure non-discrimination in their workplace?,Üçüncü taraflar işyerlerinde ayrımcılığı nasıl önlemelidir?
What are the guidelines for interactions with public officials and government entities?,Kamu görevlileri ve devlet kurumlarıyla etkileşimler için yönergeler nelerdir?
What is Apple’s stance on offering gifts to Apple employees or representatives?,Apple çalışanlarına veya temsilcilerine hediye sunma konusunda Apple’ın duruşu nedir?
What are the requirements for third parties concerning trade restrictions and export controls?,Ticaret kısıtlamaları ve ihracat kontrolleri konusunda üçüncü tarafların gereklilikleri nelerdir?
How should third parties handle confidential information and privacy concerns?,Üçüncü taraflar gizli bilgileri ve gizlilik endişelerini nasıl ele almalıdır?
What are the expectations regarding the accuracy of records and reports submitted to Apple?,Apple’a sunulan kayıt ve raporların doğruluğu konusunda beklentiler nelerdir?
How does Apple address insider trading concerns with third parties?,"Apple, üçüncü taraflarla içeriden öğrenenlerin ticareti konularını nasıl ele alır?"
What consequences might third parties face for non-compliance with the Code?,Kurallara uymamanın üçüncü taraflar için olası sonuçları nelerdir?
How does Apple conduct due diligence and monitoring of third parties?,"Apple, üçüncü tarafların durum tespiti ve izleme süreçlerini nasıl yürütür?"
